filename,aux_file,bitpix,cal_max,cal_min,data_type,datatype,db_name,descrip,dim,dim_info,extents,glmax,glmin,intent_code,intent_name,intent_p1,intent_p2,intent_p3,magic,pixdim,qform_code,qoffset_x,qoffset_y,qoffset_z,quatern_b,quatern_c,quatern_d,regular,scl_inter,scl_slope,session_error,sform_code,sizeof_hdr,slice_code,slice_duration,slice_end,slice_start,srow_x,srow_y,srow_z,toffset,vox_offset,xyzt_units
ID_0237f3c9_ID_40015688b9.nii.gz,b'',16,0.0,0.0,b'',512,b'',b'',"[3, 512, 512, 28, 1, 1, 1, 1]",0,0,0,0,0,b'',0.0,0.0,0.0,b'n+1',"[-1.0, 0.4882810115814209, 0.4882810115814209, 5.288000106811523, 0.0, 0.0, 0.0, 0.0]",1,125.0,-96.02786254882812,-63.314971923828125,-0.0,0.9862856268882751,0.16504746675491333,b'r',nan,nan,0,0,348,0,0.0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,2
ID_029ebbea_ID_563afa0901.nii.gz,b'',16,0.0,0.0,b'',512,b'',b'',"[3, 512, 512, 28, 1, 1, 1, 1]",0,0,0,0,0,b'',0.0,0.0,0.0,b'n+1',"[-1.0, 0.4882810115814209, 0.4882810115814209, 5.392673492431641, 0.0, 0.0, 0.0, 0.0]",1,125.0,-113.94509887695312,-39.41439437866211,-0.0,0.9816271662712097,0.19080916047096252,b'r',nan,nan,0,0,348,0,0.0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,2
ID_02b882cc_ID_a4892e60ae.nii.gz,b'',16,0.0,0.0,b'',512,b'',b'',"[3, 512, 512, 32, 1, 1, 1, 1]",0,0,0,0,0,b'',0.0,0.0,0.0,b'n+1',"[-1.0, 0.4882810115814209, 0.4882810115814209, 5.392673492431641, 0.0, 0.0, 0.0, 0.0]",1,125.0,-136.74510192871094,-57.29619216918945,-0.0,0.9816271662712097,0.19080916047096252,b'r',nan,nan,0,0,348,0,0.0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,2
ID_02f779fb_ID_c4d7f33559.nii.gz,b'',16,0.0,0.0,b'',512,b'',b'',"[3, 512, 512, 31, 1, 1, 1, 1]",0,0,0,0,0,b'',0.0,0.0,0.0,b'n+1',"[-1.0, 0.48828125, 0.48828125, 5.0, 0.0, 0.0, 0.0, 0.0]",1,125.0,-259.51171875,96.5999755859375,-0.0,1.0,0.0,b'r',nan,nan,0,0,348,0,0.0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,2
ID_041e6601_ID_1fa1d20bba.nii.gz,b'',16,0.0,0.0,b'',512,b'',b'',"[3, 512, 512, 32, 1, 1, 1, 1]",0,0,0,0,0,b'',0.0,0.0,0.0,b'n+1',"[-1.0, 0.390625, 0.390625, 5.0, 0.0, 0.0, 0.0, 0.0]",1,113.0,-230.3093719482422,60.31999969482422,-0.0,1.0,0.0,b'r',nan,nan,0,0,348,0,0.0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,2
ID_0492041f_ID_b4fcf2f799.nii.gz,b'',16,0.0,0.0,b'',512,b'',b'',"[3, 512, 512, 36, 1, 1, 1, 1]",0,0,0,0,0,b'',0.0,0.0,0.0,b'n+1',"[-1.0, 0.4882810115814209, 0.4882810115814209, 5.027002334594727, 0.0, 0.0, 0.0, 0.0]",1,125.0,-142.9297637939453,-61.271949768066406,-0.0,0.9986295700073242,0.05233572795987129,b'r',nan,nan,0,0,348,0,0.0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,2
ID_05331dc6_ID_47213b7e2e.nii.gz,b'',16,0.0,0.0,b'',512,b'',b'',"[3, 512, 512, 32, 1, 1, 1, 1]",0,0,0,0,0,b'',0.0,0.0,0.0,b'n+1',"[-1.0, 0.4882810115814209, 0.4882810115814209, 5.392673492431641, 0.0, 0.0, 0.0, 0.0]",1,125.0,-123.64509582519531,-45.70594787597656,-0.0,0.9816271662712097,0.19080916047096252,b'r',nan,nan,0,0,348,0,0.0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,2
ID_07365cde_ID_8e661b8f07.nii.gz,b'',16,0.0,0.0,b'',512,b'',b'',"[3, 512, 512, 30, 1, 1, 1, 1]",0,0,0,0,0,b'',0.0,0.0,0.0,b'n+1',"[-1.0, 0.48828125, 0.48828125, 5.47314453125, 0.0, 0.0, 0.0, 0.0]",1,125.0,-261.3897399902344,33.269752502441406,-0.0,0.9781476259231567,0.20791170001029968,b'r',nan,nan,0,0,348,0,0.0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,2
ID_089596a9_ID_ea71b57820.nii.gz,b'',16,0.0,0.0,b'',512,b'',b'',"[3, 512, 512, 40, 1, 1, 1, 1]",0,0,0,0,0,b'',0.0,0.0,0.0,b'n+1',"[-1.0, 0.4882810115814209, 0.4882810115814209, 2.500001907348633, 0.0, 0.0, 0.0, 0.0]",1,153.5,-100.40263366699219,-38.043514251708984,-0.0,0.9969796538352966,0.07766339182853699,b'r',nan,nan,0,0,348,0,0.0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,2
ID_09b33fc4_ID_bcd322d4ed.nii.gz,b'',16,0.0,0.0,b'',512,b'',b'',"[3, 512, 512, 28, 1, 1, 1, 1]",0,0,0,0,0,b'',0.0,0.0,0.0,b'n+1',"[-1.0, 0.48828125, 0.48828125, 6.0, 0.0, 0.0, 0.0, 0.0]",1,125.0,-258.0598449707031,1104.934814453125,-0.0,0.9743700623512268,0.22495105862617493,b'r',nan,nan,0,0,348,0,0.0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,2
ID_0b10cbee_ID_f91d6a7cd2.nii.gz,b'',16,0.0,0.0,b'',512,b'',b'',"[3, 512, 512, 32, 1, 1, 1, 1]",0,0,0,0,0,b'',0.0,0.0,0.0,b'n+1',"[-1.0, 0.4882810115814209, 0.4882810115814209, 5.228458404541016, 0.0, 0.0, 0.0, 0.0]",1,134.3000030517578,-115.47100830078125,-59.053077697753906,-0.0,0.9890158176422119,0.1478094905614853,b'r',nan,nan,0,1,348,0,0.0,0,0,"[-0.4882810115814209, -0.0, 0.0, 134.3000030517578]","[-0.0, 0.46694543957710266, -1.5286540985107422, -115.47100830078125]","[0.0, 0.14275963604450226, 4.999999523162842, -59.053077697753906]",0.0,0.0,2
ID_0c3eef60_ID_6994ad7df0.nii.gz,b'',16,0.0,0.0,b'',512,b'',b'',"[3, 512, 512, 35, 1, 1, 1, 1]",0,0,0,0,0,b'',0.0,0.0,0.0,b'n+1',"[-1.0, 0.427734375, 0.427734375, 5.0, 0.0, 0.0, 0.0, 0.0]",1,109.5,-224.072265625,51.5,-0.0,1.0,0.0,b'r',nan,nan,0,0,348,0,0.0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,2
ID_0c6b97a9_ID_6011bb9ce8.nii.gz,b'',16,0.0,0.0,b'',512,b'',b'',"[3, 512, 512, 32, 1, 1, 1, 1]",0,0,0,0,0,b'',0.0,0.0,0.0,b'n+1',"[-1.0, 0.4882810115814209, 0.4882810115814209, 5.243000030517578, 0.0, 0.0, 0.0, 0.0]",1,125.0,-104.74842834472656,-57.277626037597656,-0.0,0.9883614778518677,0.15212349593639374,b'r',nan,nan,0,0,348,0,0.0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,2
