patient_id,sizeof_hdr,data_type,db_name,extents,session_error,regular,dim_info,dim,intent_p1,intent_p2,intent_p3,intent_code,datatype,bitpix,slice_start,pixdim,vox_offset,scl_slope,scl_inter,slice_end,slice_code,xyzt_units,cal_max,cal_min,slice_duration,toffset,glmax,glmin,descrip,aux_file,qform_code,sform_code,quatern_b,quatern_c,quatern_d,qoffset_x,qoffset_y,qoffset_z,srow_x,srow_y,srow_z,intent_name,magic
049,348,,,16384,0,r,48,"[3, 512, 512, 39, 1, 1, 1, 1]",0.0,0.0,0.0,0,4,16,0,"[-1.0, 0.412109375, 0.412109375, 5.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,0,0,2,0.0,0.0,0.0,0.0,2914,-1024,time=--------------.---;,;SIEMENS;Head_SAFIRE,1,1,-0.0,1.0,-0.0,105.2939453125,23.7060546875,-690.5,"[-0.412109375, -0.0, 0.0, 105.2939453125]","[-0.0, 0.412109375, 0.0, 23.7060546875]","[0.0, -0.0, 5.0, -690.5]",,n+1
050,348,,,16384,0,r,48,"[3, 512, 512, 32, 1, 1, 1, 1]",0.0,0.0,0.0,0,4,16,0,"[-1.0, 0.3515625, 0.3515625, 5.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,0,0,2,0.0,0.0,0.0,0.0,1943,-1021,time=--------------.---;,;SIEMENS;Head_SAFIRE,1,1,-0.0,1.0,-0.0,89.82421875,31.67578125,-739.0,"[-0.3515625, -0.0, 0.0, 89.82421875]","[-0.0, 0.3515625, 0.0, 31.67578125]","[0.0, -0.0, 5.0, -739.0]",,n+1
051,348,,,16384,0,r,48,"[3, 512, 512, 46, 1, 1, 1, 1]",0.0,0.0,0.0,0,4,16,0,"[-1.0, 0.412109375, 0.412109375, 5.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,0,0,2,0.0,0.0,0.0,0.0,3046,-1014,time=--------------.---;,;SIEMENS;Head_SAFIRE,1,1,-0.0,1.0,-0.0,105.2939453125,26.7060546875,-740.0,"[-0.412109375, -0.0, 0.0, 105.2939453125]","[-0.0, 0.412109375, 0.0, 26.7060546875]","[0.0, -0.0, 5.0, -740.0]",,n+1
052,348,,,16384,0,r,48,"[3, 512, 512, 35, 1, 1, 1, 1]",0.0,0.0,0.0,0,4,16,0,"[-1.0, 0.390625, 0.390625, 5.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,0,0,2,0.0,0.0,0.0,0.0,3071,-1018,time=--------------.---;,;SIEMENS;Head_SAFIRE,1,1,-0.0,1.0,-0.0,99.8046875,77.1953125,-464.5,"[-0.390625, -0.0, 0.0, 99.8046875]","[-0.0, 0.390625, 0.0, 77.1953125]","[0.0, -0.0, 5.0, -464.5]",,n+1
053,348,,,16384,0,r,48,"[3, 512, 512, 35, 1, 1, 1, 1]",0.0,0.0,0.0,0,4,16,0,"[-1.0, 0.47265625, 0.47265625, 5.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,0,0,2,0.0,0.0,0.0,0.0,2806,-1024,time=--------------.---;,;SIEMENS;HeadRoutine,1,1,-0.0,1.0,-0.0,120.763671875,47.236328125,-512.5,"[-0.47265625, -0.0, 0.0, 120.763671875]","[-0.0, 0.47265625, 0.0, 47.236328125]","[0.0, -0.0, 5.0, -512.5]",,n+1
054,348,,,16384,0,r,48,"[3, 512, 512, 33, 1, 1, 1, 1]",0.0,0.0,0.0,0,4,16,0,"[-1.0, 0.439453125, 0.439453125, 5.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,0,0,2,0.0,0.0,0.0,0.0,2115,-1024,time=--------------.---;,;SIEMENS;Head_SAFIRE,1,1,-0.0,1.0,-0.0,112.2802734375,57.2197265625,-635.5,"[-0.439453125, -0.0, 0.0, 112.2802734375]","[-0.0, 0.439453125, 0.0, 57.2197265625]","[0.0, -0.0, 5.0, -635.5]",,n+1
055,348,,,16384,0,r,48,"[3, 512, 512, 56, 1, 1, 1, 1]",0.0,0.0,0.0,0,4,16,0,"[-1.0, 0.423828125, 0.423828125, 5.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,0,0,2,0.0,0.0,0.0,0.0,3071,-1024,time=--------------.---;,;SIEMENS;Head_SAFIRE,1,1,-0.0,1.0,-0.0,108.2880859375,42.2119140625,-741.5,"[-0.423828125, -0.0, 0.0, 108.2880859375]","[-0.0, 0.423828125, 0.0, 42.2119140625]","[0.0, -0.0, 5.0, -741.5]",,n+1
056,348,,,16384,0,r,48,"[3, 512, 512, 40, 1, 1, 1, 1]",0.0,0.0,0.0,0,4,16,0,"[-1.0, 0.458984375, 0.458984375, 5.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,0,0,2,0.0,0.0,0.0,0.0,2413,-1018,time=--------------.---;,;SIEMENS;Head_SAFIRE,1,1,-0.0,1.0,-0.0,117.2705078125,69.7294921875,-918.5,"[-0.458984375, -0.0, 0.0, 117.2705078125]","[-0.0, 0.458984375, 0.0, 69.7294921875]","[0.0, -0.0, 5.0, -918.5]",,n+1
057,348,,,16384,0,r,48,"[3, 512, 512, 43, 1, 1, 1, 1]",0.0,0.0,0.0,0,4,16,0,"[-1.0, 0.44140625, 0.44140625, 5.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,0,0,2,0.0,0.0,0.0,0.0,2821,-1024,time=--------------.---;,;SIEMENS;Head_SAFIRE,1,1,-0.0,1.0,-0.0,112.779296875,32.720703125,-733.0,"[-0.44140625, -0.0, 0.0, 112.779296875]","[-0.0, 0.44140625, 0.0, 32.720703125]","[0.0, -0.0, 5.0, -733.0]",,n+1
058,348,,,16384,0,r,48,"[3, 512, 512, 38, 1, 1, 1, 1]",0.0,0.0,0.0,0,4,16,0,"[-1.0, 0.42578125, 0.42578125, 5.0, 0.0, 0.0, 0.0, 0.0]",0.0,,,0,0,2,0.0,0.0,0.0,0.0,2914,-1024,time=--------------.---;,;SIEMENS;Head_SAFIRE,1,1,-0.0,1.0,-0.0,108.787109375,52.712890625,-654.0,"[-0.42578125, -0.0, 0.0, 108.787109375]","[-0.0, 0.42578125, 0.0, 52.712890625]","[0.0, -0.0, 5.0, -654.0]",,n+1
